treeid,year,latbi,site,plot,replicate,provenance.lat,provenance.long,sampleType,lengthCM,BAI,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,pgsGDD5,pgsGSL
ALNINC_WM5_P1,2020,Alnus incana,WM,5,P1,44.112337,-71.230138,cookie,0.20150666666666667,201.16557164159508,85,NA,148,NA,NA,NA,NA,282,275,2195.472222222221,134
ALNINC_WM5A_P16,2018,Alnus incana,WM,5A,P16,44.112337,-71.230138,cookie,0.34120666666666666,55.02370296018334,NA,NA,142,NA,NA,NA,NA,288,288,2297.624999999999,146
ALNINC_WM5A_P16,2019,Alnus incana,WM,5A,P16,44.112337,-71.230138,cookie,0.44788666666666666,186.70819384798529,NA,122,112,NA,NA,147,228,274,240,2267.730555555556,162
ALNINC_WM5A_P16,2020,Alnus incana,WM,5A,P16,44.112337,-71.230138,cookie,0.26500666666666667,172.07583307159382,NA,NA,148,NA,NA,NA,NA,282,293,2195.472222222221,134
ALNINC_WM5B_P16,2018,Alnus incana,WM,5B,P16,44.112337,-71.230138,cookie,0.26331333333333334,21.97151190363963,NA,NA,142,NA,NA,NA,NA,263,304,2042.4361111111107,121
ALNINC_WM5B_P16,2019,Alnus incana,WM,5B,P16,44.112337,-71.230138,cookie,0.5300133333333333,176.6855199114368,97,103,123,NA,NA,161,228,274,240,2218.9194444444447,151
ALNINC_WM5B_P16,2020,Alnus incana,WM,5B,P16,44.112337,-71.230138,cookie,0.31157333333333337,186.45213766854806,NA,NA,143,NA,NA,NA,NA,282,241,2249.36111111111,139
ALNINC_WM5B_P2,2018,Alnus incana,WM,5B,P2,44.112337,-71.230138,cookie,0.6477,134.0903379985569,114,NA,128,NA,NA,NA,NA,253,274,2028.766666666666,125
ALNINC_WM5B_P2,2019,Alnus incana,WM,5B,P2,44.112337,-71.230138,cookie,0.5300133333333333,303.44886776224394,103,123.5,119,NA,86,147,245,274,240,2233.6111111111113,155
ALNINC_WM5B_P2,2020,Alnus incana,WM,5B,P2,44.112337,-71.230138,cookie,0.14139333333333334,111.38443805521199,85,NA,NA,NA,NA,NA,275,282,293,NA,NA
BETALL_GR12_P1,2018,Betula alleghaniensis,GR,12,P1,44.794942,-71.146683,cookie,0.30818666666666666,75.25078991578333,114,NA,124,NA,NA,NA,NA,268,288,2269.494444444444,144
BETALL_GR12_P1,2019,Betula alleghaniensis,GR,12,P1,44.794942,-71.146683,cookie,0.4953,246.4104958651689,107,165,115,NA,NA,NA,NA,260,240,2068.222222222223,145
BETALL_GR12_P1,2020,Betula alleghaniensis,GR,12,P1,44.794942,-71.146683,cookie,0.3666066666666667,285.732347463079,98,NA,143,NA,NA,NA,NA,263,248,2037.3333333333321,120
BETALL_GR12_P3,2018,Betula alleghaniensis,GR,12,P3,44.794942,-71.146683,cookie,0.4428066666666667,153.8992223814084,114,NA,124,NA,NA,NA,NA,281,297,2408.016666666666,157
BETALL_GR12_P3,2019,Betula alleghaniensis,GR,12,P3,44.794942,-71.146683,cookie,0.41148,254.91034492453642,NA,NA,123,NA,NA,NA,NA,260,240,2037.4916666666672,137
BETALL_GR12_P3,2020,Betula alleghaniensis,GR,12,P3,44.794942,-71.146683,cookie,0.11768666666666666,92.24846120460192,100,NA,135,NA,NA,NA,NA,248,268,1914.2499999999995,113
BETALL_GR13_P1,2018,Betula alleghaniensis,GR,13,P1,44.794942,-71.146683,cookie,0.36152666666666666,111.53036980919205,114,NA,128,NA,NA,NA,NA,268,277,2228.469444444444,140
