treeid,year,spp,site,plot,replicate,lengthCM,sampleType,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,BAI,pgsGDD5,pgsGDD10,fgsGDD10,fullGDD,pgsGSL,pgsGDDAVG,idyear,latbi
ALNINC_HF5_P6,2018,ALNINC,HF,5,P6,0.44026666666666664,cookies,110,82,128,58,121,151,NA,239,NA,42.531705,-72.18992,86.82398873837016,1780.5749999999994,1237.1944444444446,NA,2950.9972222222204,111,2444.566666666666,ALNINC_HF5_P6_2018,Alnus incana
ALNINC_HF5_P6,2019,ALNINC,HF,5,P6,0.45974,cookies,103,124.5,129,NA,NA,147,211,263,240,42.531705,-72.18992,221.18997560555607,2024.8833333333337,1382.8277777777778,1194.952777777778,2826.3750000000005,134,2207.8916666666673,ALNINC_HF5_P6_2019,Alnus incana
ALNINC_HF5_P6,2020,ALNINC,HF,5,P6,0.32850666666666667,cookies,100,NA,154,NA,NA,NA,293,282,275,42.531705,-72.18992,237.43096372558907,2120.61111111111,1503.0555555555552,1469.666666666666,3024.833333333331,128,2397.6388888888873,ALNINC_HF5_P6_2020,Alnus incana
ALNINC_HF8_P12,2018,ALNINC,HF,8,P12,0.62738,coresWithoutCookies,110,82,124,58,NA,151,184,274,NA,42.531705,-72.18992,251.7079536566402,2338.9111111111106,1605.816666666667,NA,2950.9972222222204,150,2467.5999999999995,ALNINC_HF8_P12_2018,Alnus incana
ALNINC_HF8_P12,2019,ALNINC,HF,8,P12,0.45339,coresWithoutCookies,103,127,127,NA,NA,147,221,263,249,42.531705,-72.18992,341.63535680198964,2037.9388888888893,1388.9388888888889,1289.125,2826.3750000000005,136,2214.002777777778,ALNINC_HF8_P12_2019,Alnus incana
ALNINC_HF8_P12,2020,ALNINC,HF,8,P12,0.14605,coresWithoutCookies,NA,NA,157,NA,NA,NA,NA,282,293,42.531705,-72.18992,138.66252848494668,2070.0277777777765,1467.4722222222217,1513.083333333333,3024.833333333331,125,2362.0555555555543,ALNINC_HF8_P12_2020,Alnus incana
ALNINC_HF9_P2,2018,ALNINC,HF,9,P2,0.3674533333333333,cookies,110,82,128,58,NA,149,180,288,297,42.531705,-72.18992,119.82348221708774,2434.538888888888,1661.7305555555554,1678.4749999999997,2950.9972222222204,160,2444.566666666666,ALNINC_HF9_P2_2018,Alnus incana
ALNINC_HF9_P2,2019,ALNINC,HF,9,P2,0.27432,cookies,100,124.5,132,NA,86,147,228,253,240,42.531705,-72.18992,147.25324708556562,1890.9666666666667,1302.2055555555557,1183.5138888888891,2826.3750000000005,121,2196.4527777777785,ALNINC_HF9_P2_2019,Alnus incana
ALNINC_HF9_P2,2020,ALNINC,HF,9,P2,0.16171333333333335,cookies,100,NA,154,NA,NA,NA,275,282,293,42.531705,-72.18992,109.76567656198853,2120.61111111111,1503.0555555555552,1548.6666666666663,3024.833333333331,128,2397.6388888888873,ALNINC_HF9_P2_2020,Alnus incana
ALNINC_HF9_P6,2018,ALNINC,HF,9,P6,0.73152,coresWithoutCookies,114,NA,124,NA,NA,NA,NA,263,NA,42.531705,-72.18992,169.9375275098024,2220.3749999999995,1539.0027777777777,NA,2950.9972222222204,139,2467.5999999999995,ALNINC_HF9_P6_2018,Alnus incana
ALNINC_HF9_P6,2019,ALNINC,HF,9,P6,0.47625,coresWithoutCookies,100,121,123,NA,86,147,232,253,240,42.531705,-72.18992,289.35530593862603,1952.6944444444443,1331.2055555555557,1212.5138888888891,2826.3750000000005,130,2225.4527777777785,ALNINC_HF9_P6_2019,Alnus incana
ALNINC_HF9_P6,2020,ALNINC,HF,9,P6,0.32893000000000006,coresWithoutCookies,98,NA,157,NA,NA,NA,293,282,293,42.531705,-72.18992,283.388318664774,2070.0277777777765,1467.4722222222217,1513.083333333333,3024.833333333331,125,2362.0555555555543,ALNINC_HF9_P6_2020,Alnus incana
ALNINC_SH1_P1,2018,ALNINC,SH,1,P1,0.5274733333333333,cookies,103,NA,124,NA,NA,NA,NA,277,NA,45.932675,-74.02507,144.9933317287908,2370.1999999999994,1622.1055555555558,NA,2950.9972222222204,153,2467.5999999999995,ALNINC_SH1_P1_2018,Alnus incana
ALNINC_SH1_P1,2019,ALNINC,SH,1,P1,0.4097866666666667,cookies,93,NA,119,NA,NA,NA,NA,274,267,45.932675,-74.02507,233.1935379803898,2233.6111111111113,1505.65,1453.5472222222224,2826.3750000000005,155,2229.7861111111115,ALNINC_SH1_P1_2019,Alnus incana
ALNINC_SH1_P1,2020,ALNINC,SH,1,P1,0.20320000000000002,cookies,85,NA,154,NA,NA,NA,NA,NA,248,45.932675,-74.02507,154.76332753576267,NA,NA,1242.416666666667,3024.833333333331,NA,2397.6388888888873,ALNINC_SH1_P1_2020,Alnus incana
ALNINC_SH1_P12,2018,ALNINC,SH,1,P12,0.2624666666666667,cookies,110,82,124,NA,58,151,180,263,NA,45.932675,-74.02507,73.9711846285691,2220.3749999999995,1539.0027777777777,NA,2950.9972222222204,139,2467.5999999999995,ALNINC_SH1_P12_2018,Alnus incana
ALNINC_SH1_P12,2019,ALNINC,SH,1,P12,0.52832,cookies,103,121,123,74,NA,142,211,263,245,45.932675,-74.02507,280.08627492598856,2063.1638888888892,1400.388888888889,1264.8444444444447,2826.3750000000005,140,2225.4527777777785,ALNINC_SH1_P12_2019,Alnus incana
ALNINC_SH1_P12,2020,ALNINC,SH,1,P12,0.3589866666666667,cookies,NA,NA,143,100,NA,NA,284,275,293,45.932675,-74.02507,291.06899063293383,2190.4166666666656,1553.3611111111104,1632.3611111111106,3024.833333333331,132,2481.333333333332,ALNINC_SH1_P12_2020,Alnus incana
ALNINC_SH3_P16,2018,ALNINC,SH,3,P16,0.6265333333333334,cookies,NA,NA,142,NA,NA,NA,NA,274,297,45.932675,-74.02507,195.42558931837868,2160.9722222222217,1506.1472222222228,1601.8388888888885,2950.9972222222204,132,2367.930555555555,ALNINC_SH3_P16_2018,Alnus incana
ALNINC_SH3_P16,2019,ALNINC,SH,3,P16,0.5401733333333334,cookies,97,128.5,119,NA,86,161,228,263,240,45.932675,-74.02507,365.39554610684337,2077.855555555556,1404.7222222222222,1216.8472222222226,2826.3750000000005,144,2229.7861111111115,ALNINC_SH3_P16_2019,Alnus incana
ALNINC_SH3_P16,2020,ALNINC,SH,3,P16,0.26161999999999996,cookies,NA,NA,157,NA,NA,NA,275,282,293,45.932675,-74.02507,242.87435327104043,2070.0277777777765,1467.4722222222217,1513.083333333333,3024.833333333331,125,2362.0555555555543,ALNINC_SH3_P16_2020,Alnus incana
ALNINC_SH4_P15,2018,ALNINC,SH,4,P15,0.5723466666666667,cookies,110,NA,124,NA,NA,NA,NA,274,297,45.932675,-74.02507,188.06008940221744,2338.9111111111106,1605.816666666667,1701.5083333333332,2950.9972222222204,150,2467.5999999999995,ALNINC_SH4_P15_2018,Alnus incana
ALNINC_SH4_P15,2019,ALNINC,SH,4,P15,0.48852666666666666,cookies,97,100,115,NA,86,150,211,253,240,45.932675,-74.02507,323.7381108352798,1983.4250000000002,1340.9805555555558,1222.2888888888892,2826.3750000000005,138,2235.227777777778,ALNINC_SH4_P15_2019,Alnus incana
ALNINC_SH4_P15,2020,ALNINC,SH,4,P15,0.31496,cookies,NA,NA,154,NA,NA,NA,NA,275,275,45.932675,-74.02507,288.658414252374,2061.6666666666656,1469.666666666666,1469.666666666666,3024.833333333331,121,2397.6388888888873,ALNINC_SH4_P15_2020,Alnus incana
ALNINC_SH4_P2,2018,ALNINC,SH,4,P2,0.6680200000000001,cookiesUnconfident,107,82,124,NA,58,149,180,260,297,45.932675,-74.02507,673.0757591245374,2180.041666666666,1513.6694444444447,1701.5083333333332,2950.9972222222204,136,2467.5999999999995,ALNINC_SH4_P2_2018,Alnus incana
ALNINC_SH4_P2,2019,ALNINC,SH,4,P2,0.4758266666666667,cookiesUnconfident,NA,123.5,123,74,NA,147,186,NA,240,45.932675,-74.02507,657.5522687949064,NA,NA,1212.5138888888891,2826.3750000000005,NA,2225.4527777777785,ALNINC_SH4_P2_2019,Alnus incana
ALNINC_SH4_P2,2020,ALNINC,SH,4,P2,0.08551333333333333,cookiesUnconfident,98,NA,157,NA,NA,NA,275,282,293,45.932675,-74.02507,134.49570398183488,2070.0277777777765,1467.4722222222217,1513.083333333333,3024.833333333331,125,2362.0555555555543,ALNINC_SH4_P2_2020,Alnus incana
ALNINC_SH5_P2,2018,ALNINC,SH,5,P2,0.36406666666666665,cookies,114,NA,124,116,NA,NA,NA,253,NA,45.932675,-74.02507,82.35955804253514,2069.791666666666,1438.4194444444447,NA,2950.9972222222204,129,2467.5999999999995,ALNINC_SH5_P2_2018,Alnus incana
ALNINC_SH5_P2,2019,ALNINC,SH,5,P2,0.24214666666666668,cookies,97,123.5,129,NA,NA,147,218,260,245,45.932675,-74.02507,101.5293153917517,1999.2111111111117,1366.4833333333333,1247.2833333333335,2826.3750000000005,131,2207.8916666666673,ALNINC_SH5_P2_2019,Alnus incana
ALNINC_SH5_P2,2020,ALNINC,SH,5,P2,0.09567333333333333,cookies,91,NA,NA,NA,NA,NA,NA,282,293,45.932675,-74.02507,49.55126218593034,NA,NA,NA,3024.833333333331,NA,NA,ALNINC_SH5_P2_2020,Alnus incana
ALNINC_SH5_P3,2018,ALNINC,SH,5,P3,0.7272866666666667,cookies,114,89,124,NA,NA,151,180,274,288,45.932675,-74.02507,201.6148522730616,2338.9111111111106,1605.816666666667,1684.7638888888887,2950.9972222222204,150,2467.5999999999995,ALNINC_SH5_P3_2018,Alnus incana
ALNINC_SH5_P3,2019,ALNINC,SH,5,P3,0.5046133333333334,cookies,103,122,123,NA,NA,147,225,274,240,45.932675,-74.02507,340.8965772974654,2218.9194444444447,1501.3166666666666,1212.5138888888891,2826.3750000000005,151,2225.4527777777785,ALNINC_SH5_P3_2019,Alnus incana
ALNINC_SH5_P3,2020,ALNINC,SH,5,P3,0.13038666666666665,cookies,98,NA,139,NA,NA,NA,275,282,293,45.932675,-74.02507,116.77918368266998,2284.972222222221,1609.4166666666663,1655.0277777777774,3024.833333333331,143,2503.9999999999986,ALNINC_SH5_P3_2020,Alnus incana
ALNINC_SH6_P5,2018,ALNINC,SH,6,P5,0.64008,coresUnconfident,107,82,124,NA,58,NA,166,288,NA,45.932675,-74.02507,539.8988458083003,2475.563888888888,1684.7638888888887,NA,2950.9972222222204,164,2467.5999999999995,ALNINC_SH6_P5_2018,Alnus incana
ALNINC_SH6_P5,2019,ALNINC,SH,6,P5,0.50292,coresUnconfident,97,121,112,74,NA,142,193,274,240,45.932675,-74.02507,607.7794065381174,2267.730555555556,1518.925,1230.1222222222225,2826.3750000000005,162,2243.0611111111116,ALNINC_SH6_P5_2019,Alnus incana
ALNINC_SH6_P5,2020,ALNINC,SH,6,P5,0.1651,coresUnconfident,85,NA,148,NA,NA,NA,NA,282,293,45.932675,-74.02507,238.8923080953063,2195.472222222221,1554.6666666666663,1600.2777777777774,3024.833333333331,134,2449.2499999999986,ALNINC_SH6_P5_2020,Alnus incana
ALNINC_WM1_P1,2018,ALNINC,WM,1,P1,0.5757333333333333,cookiesUnconfident,114,NA,124,NA,NA,NA,NA,274,297,44.112337,-71.230138,197.36729237828027,2338.9111111111106,1605.816666666667,1701.5083333333332,2950.9972222222204,150,2467.5999999999995,ALNINC_WM1_P1_2018,Alnus incana
ALNINC_WM1_P1,2019,ALNINC,WM,1,P1,0.4656666666666667,cookiesUnconfident,100,147,123,NA,NA,147,NA,249,245,44.112337,-71.230138,315.4477008672726,1902.0638888888889,1300.575,1264.8444444444447,2826.3750000000005,126,2225.4527777777785,ALNINC_WM1_P1_2019,Alnus incana
ALNINC_WM1_P1,2020,ALNINC,WM,1,P1,0.13970000000000002,cookiesUnconfident,108,NA,143,NA,NA,NA,NA,282,293,44.112337,-71.230138,123.76161274463352,2249.36111111111,1586.7499999999995,1632.3611111111106,3024.833333333331,139,2481.333333333332,ALNINC_WM1_P1_2020,Alnus incana
ALNINC_WM2A_P1,2018,ALNINC,WM,2A,P1,0.63246,cookies,107,NA,124,NA,NA,NA,NA,270,297,44.112337,-71.230138,216.57555949590824,2300.7416666666663,1586.1750000000002,1701.5083333333332,2950.9972222222204,146,2467.5999999999995,ALNINC_WM2A_P1_2018,Alnus incana
ALNINC_WM2A_P1,2019,ALNINC,WM,2A,P1,0.5113866666666667,cookies,NA,100,112,74,NA,221,NA,253,245,44.112337,-71.230138,365.90900968566206,2001.5055555555557,1348.813888888889,1282.452777777778,2826.3750000000005,141,2243.0611111111116,ALNINC_WM2A_P1_2019,Alnus incana
ALNINC_WM2A_P1,2020,ALNINC,WM,2A,P1,0.17187333333333332,cookies,98,NA,154,NA,NA,NA,291.5,NA,241,44.112337,-71.230138,163.49964008537563,NA,NA,1173.5833333333335,3024.833333333331,NA,2397.6388888888873,ALNINC_WM2A_P1_2020,Alnus incana
ALNINC_WM5_P1,2018,ALNINC,WM,5,P1,0.7298266666666666,cookies,114,NA,124,NA,NA,NA,NA,281,NA,44.112337,-71.230138,253.2321297537655,2408.016666666666,1643.525,NA,2950.9972222222204,157,2467.5999999999995,ALNINC_WM5_P1_2018,Alnus incana
ALNINC_WM5_P1,2019,ALNINC,WM,5,P1,0.5469466666666667,cookies,97,100,112,NA,86,155,NA,274,245,44.112337,-71.230138,414.5664398784645,2267.730555555556,1518.925,1282.452777777778,2826.3750000000005,162,2243.0611111111116,ALNINC_WM5_P1_2019,Alnus incana
ALNINC_WM5_P1,2020,ALNINC,WM,5,P1,0.20150666666666667,cookies,85,NA,148,NA,NA,NA,NA,282,275,44.112337,-71.230138,201.16557164159508,2195.472222222221,1554.6666666666663,1521.2777777777771,3024.833333333331,134,2449.2499999999986,ALNINC_WM5_P1_2020,Alnus incana
ALNINC_WM5A_P16,2018,ALNINC,WM,5A,P16,0.34120666666666666,cookies,NA,NA,142,NA,NA,NA,NA,288,288,44.112337,-71.230138,55.02370296018334,2297.624999999999,1585.0944444444444,1585.0944444444444,2950.9972222222204,146,2367.930555555555,ALNINC_WM5A_P16_2018,Alnus incana
ALNINC_WM5A_P16,2019,ALNINC,WM,5A,P16,0.44788666666666666,cookies,NA,122,112,NA,NA,147,228,274,240,44.112337,-71.230138,186.70819384798529,2267.730555555556,1518.925,1230.1222222222225,2826.3750000000005,162,2243.0611111111116,ALNINC_WM5A_P16_2019,Alnus incana
ALNINC_WM5A_P16,2020,ALNINC,WM,5A,P16,0.26500666666666667,cookies,NA,NA,148,NA,NA,NA,NA,282,293,44.112337,-71.230138,172.07583307159382,2195.472222222221,1554.6666666666663,1600.2777777777774,3024.833333333331,134,2449.2499999999986,ALNINC_WM5A_P16_2020,Alnus incana
