date,maxTempC,meanTempC,minTempC,source,year,doy,GDD_5,GDD_10
2018-02-03,-2.538888888888889,-7.802604166666666,-13.655555555555555,weldhillsite,2018,34,32.70555555555556,10.352777777777781
2018-02-04,6.661111111111112,2.377662037037038,-4.927777777777778,weldhillsite,2018,35,33.53611111111112,10.352777777777781
2018-02-05,7.0166666666666675,2.072222222222222,-5.388888888888888,weldhillsite,2018,36,34.54444444444445,10.352777777777781
2018-02-06,0.29999999999999954,-3.5664351851851848,-6.738888888888888,weldhillsite,2018,37,34.54444444444445,10.352777777777781
2018-02-07,4.638888888888889,-1.9407986111111113,-7.444444444444444,weldhillsite,2018,38,34.54444444444445,10.352777777777781
2018-02-08,0.3833333333333321,-3.423958333333333,-5.883333333333333,weldhillsite,2018,39,34.54444444444445,10.352777777777781
2018-02-09,-0.0611111111111108,-3.4362268518518517,-7.5777777777777775,weldhillsite,2018,40,34.54444444444445,10.352777777777781
2018-02-10,12.027777777777777,6.455092592592592,-1.211111111111111,weldhillsite,2018,41,38.05833333333334,11.36666666666667
2018-02-11,8.516666666666666,5.139814814814815,2.6111111111111125,weldhillsite,2018,42,39.81666666666667,11.36666666666667
2018-02-12,7.1944444444444455,3.8752893518518516,-1.4388888888888889,weldhillsite,2018,43,40.91388888888889,11.36666666666667
2018-02-13,-0.005555555555556424,-2.535590277777778,-4.744444444444444,weldhillsite,2018,44,40.91388888888889,11.36666666666667
2018-02-14,8.794444444444443,2.7215277777777773,-3.6555555555555546,weldhillsite,2018,45,42.81111111111111,11.36666666666667
2018-02-15,9.877777777777778,6.566840277777777,2.3166666666666678,weldhillsite,2018,46,45.25,11.36666666666667
2018-02-16,11.638888888888891,7.980671296296296,0.7722222222222225,weldhillsite,2018,47,48.56944444444444,12.186111111111117
2018-02-17,2.7722222222222235,-0.505381944444444,-3.5666666666666673,weldhillsite,2018,48,48.56944444444444,12.186111111111117
2018-02-18,6.93888888888889,1.7345486111111112,-3.0055555555555555,weldhillsite,2018,49,49.53888888888889,12.186111111111117
2018-02-19,9.877777777777778,3.745775462962965,-4.927777777777778,weldhillsite,2018,50,51.97777777777778,12.186111111111117
2018-02-20,21.866666666666667,14.626273148148147,10.366666666666665,weldhillsite,2018,51,63.09444444444445,18.302777777777784
2018-02-21,23.377777777777776,16.703645833333333,11.177777777777775,weldhillsite,2018,52,75.37222222222222,25.58055555555556
2018-02-22,12.555555555555555,4.027546296296296,-0.3111111111111104,weldhillsite,2018,53,79.15,26.858333333333338
2018-02-23,5.383333333333332,1.7668402777777776,-1.7555555555555555,weldhillsite,2018,54,79.34166666666667,26.858333333333338
2018-02-24,12.627777777777776,7.770601851851851,2.3444444444444437,weldhillsite,2018,55,83.15555555555555,28.172222222222224
2018-02-25,5.050000000000002,3.8293981481481483,2.0222222222222226,weldhillsite,2018,56,83.18055555555556,28.172222222222224
2018-02-26,10.394444444444444,5.806018518518519,2.372222222222224,weldhillsite,2018,57,85.87777777777778,28.369444444444447
2018-02-27,11.588888888888889,5.217476851851852,-2.2777777777777786,weldhillsite,2018,58,89.17222222222222,29.16388888888889
2018-02-28,16.03333333333333,8.965335648148148,3.194444444444444,weldhillsite,2018,59,94.68888888888888,32.18055555555556
2018-03-01,16.7,8.069270833333333,3.75,weldhillsite,2018,60,100.53888888888888,35.53055555555556
2018-03-02,5.305555555555554,3.435358796296296,0.5777777777777773,weldhillsite,2018,61,100.69166666666665,35.53055555555556
2018-03-03,6.305555555555556,4.655439814814815,2.688888888888891,weldhillsite,2018,62,101.34444444444443,35.53055555555556
2018-03-04,4.716666666666668,3.472800925925926,2.4777777777777783,weldhillsite,2018,63,101.34444444444443,35.53055555555556
2018-03-05,6.461111111111112,2.42019675925926,-0.7611111111111116,weldhillsite,2018,64,102.07499999999999,35.53055555555556
2018-03-06,2.0722222222222206,1.0601273148148147,-0.3111111111111104,weldhillsite,2018,65,102.07499999999999,35.53055555555556
2018-03-07,2.8500000000000014,1.6302662037037035,0.0777777777777781,weldhillsite,2018,66,102.07499999999999,35.53055555555556
2018-03-08,3.2722222222222226,0.7394097222222223,-1.1000000000000003,weldhillsite,2018,67,102.07499999999999,35.53055555555556
2018-03-09,2.822222222222221,0.16753472222222224,-2.5944444444444454,weldhillsite,2018,68,102.07499999999999,35.53055555555556
2018-03-10,4.61111111111111,1.7192708333333333,-0.6222222222222228,weldhillsite,2018,69,102.07499999999999,35.53055555555556
2018-03-11,6.688888888888888,2.3408212560386477,-1.5555555555555558,weldhillsite,2018,70,102.91944444444444,35.53055555555556
2018-03-12,5.1277777777777755,2.120659722222222,-3.1222222222222227,weldhillsite,2018,71,102.98333333333332,35.53055555555556
2018-03-13,3.194444444444444,-0.544675925925926,-2.305555555555555,weldhillsite,2018,72,102.98333333333332,35.53055555555556
