year,budburst,flowers,leafout,flobuds,flobudburst,fruit,ripefruit,budset,leafcolor,provenance.lat,provenance.long,treeid,spp,pgs,fgs,budburstGDD5,budsetGDD5,leafoutGDD5,leafcolorGDD5,budburstGDD10,budsetGDD10,leafoutGDD10,leafcolorGDD10,pgsGDD5,fgsGDD5,pgsGDD10,fgsGDD10,sppyear,budsetAVG,budsetGDDAVG,fullGDD,siteplot,site,plot,replicate
2018,103,NA,124,NA,NA,NA,NA,274,304,44.794942,-71.146683,ALNINC_GR11A_P3,ALNINC,150,180,161.7027777777778,2649.3861111111105,310.475,2843.824999999999,57.66944444444444,1749.4333333333338,143.61666666666667,1849.5972222222222,2338.9111111111106,2533.349999999999,1605.816666666667,1705.9805555555554,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR11A,GR,11,P3
2018,103,NA,124,NA,NA,NA,NA,274,NA,44.794942,-71.146683,ALNINC_GR11B_P3,ALNINC,150,NA,161.7027777777778,2649.3861111111105,310.475,NA,57.66944444444444,1749.4333333333338,143.61666666666667,NA,2338.9111111111106,NA,1605.816666666667,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR11B,GR,11,P3
2018,107,NA,124,NA,NA,NA,NA,274,297,44.794942,-71.146683,ALNINC_GR8_P3,ALNINC,150,173,171.1777777777778,2649.3861111111105,310.475,2824.0361111111097,59.71666666666666,1749.4333333333338,143.61666666666667,1845.1249999999998,2338.9111111111106,2513.5611111111098,1605.816666666667,1701.5083333333332,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR8,GR,8,P3
2019,100,129,119,NA,NA,155,NA,274,240,44.794942,-71.146683,ALNINC_GR1_P3,ALNINC,155,121,132.5222222222222,2503.252777777778,269.6416666666667,2053.336111111111,46.71111111111111,1623.361111111111,117.71111111111111,1334.5583333333336,2233.6111111111113,1783.6944444444446,1505.65,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR1,GR,1,P3
2019,NA,NA,112,NA,NA,NA,NA,274,240,44.794942,-71.146683,ALNINC_GR11A_P3,ALNINC,162,128,NA,2503.252777777778,235.5222222222222,2053.336111111111,NA,1623.361111111111,104.4361111111111,1334.5583333333336,2267.730555555556,1817.813888888889,1518.925,1230.1222222222225,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR11A,GR,11,P3
2019,97,100,119,NA,86,214,NA,274,240,44.794942,-71.146683,ALNINC_GR11B_P3,ALNINC,155,121,128.325,2503.252777777778,269.6416666666667,2053.336111111111,46.111111111111114,1623.361111111111,117.71111111111111,1334.5583333333336,2233.6111111111113,1783.6944444444446,1505.65,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR11B,GR,11,P3
2019,97,123.5,119,NA,NA,150,221,274,240,44.794942,-71.146683,ALNINC_GR8_P3,ALNINC,155,121,128.325,2503.252777777778,269.6416666666667,2053.336111111111,46.111111111111114,1623.361111111111,117.71111111111111,1334.5583333333336,2233.6111111111113,1783.6944444444446,1505.65,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR8,GR,8,P3
2020,98,NA,143,NA,NA,NA,275,282,293,44.794942,-71.146683,ALNINC_GR1_P3,ALNINC,139,150,173.6666666666667,2665.0277777777765,415.6666666666665,2752.5833333333317,60.8611111111111,1764.6388888888885,177.88888888888891,1810.2499999999995,2249.36111111111,2336.916666666665,1586.7499999999995,1632.3611111111106,ALNINC2020,281,2659.222222222221,3024.833333333331,GR1,GR,1,P3
2020,85,NA,154,NA,NA,NA,275,282,293,44.794942,-71.146683,ALNINC_GR11A_P3,ALNINC,128,139,138.13888888888894,2665.0277777777765,544.4166666666665,2752.5833333333317,47.361111111111114,1764.6388888888885,261.5833333333333,1810.2499999999995,2120.61111111111,2208.166666666665,1503.0555555555552,1548.6666666666663,ALNINC2020,281,2659.222222222221,3024.833333333331,GR11A,GR,11,P3
2020,98,NA,148,NA,NA,NA,NA,282,275,44.794942,-71.146683,ALNINC_GR11B_P3,ALNINC,134,127,173.6666666666667,2665.0277777777765,469.55555555555543,2606.083333333332,60.8611111111111,1764.6388888888885,209.97222222222223,1731.2499999999993,2195.472222222221,2136.5277777777765,1554.6666666666663,1521.2777777777771,ALNINC2020,281,2659.222222222221,3024.833333333331,GR11B,GR,11,P3
2020,91,108,154,NA,NA,NA,NA,282,293,44.794942,-71.146683,ALNINC_GR8_P3,ALNINC,128,139,150.44444444444449,2665.0277777777765,544.4166666666665,2752.5833333333317,51.388888888888886,1764.6388888888885,261.5833333333333,1810.2499999999995,2120.61111111111,2208.166666666665,1503.0555555555552,1548.6666666666663,ALNINC2020,281,2659.222222222221,3024.833333333331,GR8,GR,8,P3
2018,103,NA,128,NA,NA,NA,NA,268,NA,44.794942,-71.146683,ALNINC_GR1_P5,ALNINC,140,NA,161.7027777777778,2579.969444444444,351.5,NA,57.66944444444444,1708.5444444444447,166.65000000000003,NA,2228.469444444444,NA,1541.8944444444446,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR1,GR,1,P5
2018,114,NA,124,NA,NA,NA,NA,263,NA,44.794942,-71.146683,ALNINC_GR8A_P5,ALNINC,139,NA,202.07222222222225,2530.8499999999995,310.475,NA,75.2,1682.6194444444445,143.61666666666667,NA,2220.3749999999995,NA,1539.0027777777777,NA,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR8A,GR,8A,P5
2018,107,NA,124,NA,NA,NA,NA,268,297,44.794942,-71.146683,ALNINC_GR8B_P5,ALNINC,144,173,171.1777777777778,2579.969444444444,310.475,2824.0361111111097,59.71666666666666,1708.5444444444447,143.61666666666667,1845.1249999999998,2269.494444444444,2513.5611111111098,1564.927777777778,1701.5083333333332,ALNINC2018,270,2611.2166666666662,2950.9972222222204,GR8B,GR,8B,P5
2019,97,125,119,NA,NA,147,NA,263,240,44.794942,-71.146683,ALNINC_GR1_P5,ALNINC,144,121,128.325,2347.4972222222227,269.6416666666667,2053.336111111111,46.111111111111114,1522.4333333333334,117.71111111111111,1334.5583333333336,2077.855555555556,1783.6944444444446,1404.7222222222222,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR1,GR,1,P5
2019,107,103,129,NA,86,211,NA,274,240,44.794942,-71.146683,ALNINC_GR8A_P5,ALNINC,145,111,182.93888888888887,2503.252777777778,322.613888888889,2053.336111111111,73.8111111111111,1623.361111111111,139.60555555555555,1334.5583333333336,2180.638888888889,1730.7222222222222,1483.7555555555555,1194.952777777778,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR8A,GR,8A,P5
2019,97,119.5,119,NA,NA,142,228,263,240,44.794942,-71.146683,ALNINC_GR8B_P5,ALNINC,144,121,128.325,2347.4972222222227,269.6416666666667,2053.336111111111,46.111111111111114,1522.4333333333334,117.71111111111111,1334.5583333333336,2077.855555555556,1783.6944444444446,1404.7222222222222,1216.8472222222226,ALNINC2019,263,2347.4972222222227,2826.3750000000005,GR8B,GR,8B,P5
2020,91,NA,148,NA,NA,NA,NA,282,293,44.794942,-71.146683,ALNINC_GR1_P5,ALNINC,134,145,150.44444444444449,2665.0277777777765,469.55555555555543,2752.5833333333317,51.388888888888886,1764.6388888888885,209.97222222222223,1810.2499999999995,2195.472222222221,2283.0277777777765,1554.6666666666663,1600.2777777777774,ALNINC2020,281,2659.222222222221,3024.833333333331,GR1,GR,1,P5
