"year","budburst","flowers","leafout","flobuds","flobudburst","fruit","ripefruit","budset","leafcolor","provenance.lat","provenance.long","treeid","spp"
2020,NA,NA,143,NA,NA,NA,NA,282,241,44.112337,-71.230138,"ALNINC_WM5B_P16","ALNINC"
2020,85,NA,NA,NA,NA,NA,275,282,293,44.112337,-71.230138,"ALNINC_WM5B_P2","ALNINC"
2018,114,NA,128,NA,NA,NA,NA,253,263,44.794942,-71.146683,"BETALL_GR1_P3","BETALL"
2018,114,NA,124,NA,NA,NA,NA,268,288,44.794942,-71.146683,"BETALL_GR12_P1","BETALL"
2018,114,NA,124,NA,NA,NA,NA,281,297,44.794942,-71.146683,"BETALL_GR12_P3","BETALL"
2018,114,NA,128,NA,NA,NA,NA,268,277,44.794942,-71.146683,"BETALL_GR13_P1","BETALL"
2018,103,NA,131,NA,NA,NA,NA,253,NA,44.794942,-71.146683,"BETALL_GR13_P15","BETALL"
2018,114,NA,128,NA,NA,NA,NA,263,NA,44.794942,-71.146683,"BETALL_GR13_P2","BETALL"
2018,NA,NA,135,NA,NA,NA,NA,225,263,44.794942,-71.146683,"BETALL_GR14_P15","BETALL"
2018,NA,NA,142,NA,NA,NA,NA,225,253,44.794942,-71.146683,"BETALL_GR14_P16","BETALL"
2018,114,NA,128,NA,NA,NA,NA,263,297,44.794942,-71.146683,"BETALL_GR9_P3","BETALL"
2018,110,NA,124,NA,NA,NA,NA,263,NA,45.932675,-74.02507,"BETALL_SH2_P6","BETALL"
2018,103,NA,131,NA,NA,NA,NA,263,268,45.932675,-74.02507,"BETALL_SH4_P3","BETALL"
2018,103,NA,124,NA,NA,NA,NA,239,274,45.932675,-74.02507,"BETALL_SH4A_P9","BETALL"
2018,107,NA,131,NA,NA,NA,NA,239,268,45.932675,-74.02507,"BETALL_SH4B_P9","BETALL"
2018,110,NA,131,NA,NA,NA,NA,263,274,45.932675,-74.02507,"BETALL_SH5_P6","BETALL"
2018,NA,NA,135,NA,NA,NA,NA,232,268,45.932675,-74.02507,"BETALL_SH5_P9","BETALL"
2018,NA,NA,142,NA,NA,NA,NA,239,263,45.932675,-74.02507,"BETALL_SH7_P16","BETALL"
2018,114,NA,131,NA,NA,NA,NA,239,NA,45.932675,-74.02507,"BETALL_SH9_P6","BETALL"
2018,110,NA,128,NA,NA,NA,NA,239,NA,45.932675,-74.02507,"BETALL_SH9_P9","BETALL"
2018,114,NA,138,NA,NA,NA,NA,277,297,44.112337,-71.230138,"BETALL_WM8_P1","BETALL"
2018,103,NA,131,NA,NA,NA,NA,239,268,44.112337,-71.230138,"BETALL_WM8_P9","BETALL"
2018,110,NA,142,NA,NA,NA,NA,268,288,44.112337,-71.230138,"BETALL_WM8A_P12","BETALL"
2018,103,NA,131,NA,NA,NA,NA,256,281,44.112337,-71.230138,"BETALL_WM8A_P5","BETALL"
2018,96,NA,138,NA,NA,NA,NA,268,NA,44.112337,-71.230138,"BETALL_WM8B_P12","BETALL"
2018,110,NA,128,116,NA,NA,NA,268,288,44.112337,-71.230138,"BETALL_WM8B_P5","BETALL"
2018,NA,NA,142,NA,NA,NA,NA,NA,NA,44.112337,-71.230138,"BETALL_WM9_P16","BETALL"
2018,114,NA,131,NA,NA,NA,NA,268,NA,44.112337,-71.230138,"BETALL_WM9_P5","BETALL"
2018,114,NA,124,NA,NA,NA,NA,235,NA,44.112337,-71.230138,"BETALL_WM9_P9","BETALL"
2019,112,NA,135,NA,NA,NA,NA,260,240,44.794942,-71.146683,"BETALL_GR1_P3","BETALL"
2019,107,165,115,NA,NA,NA,NA,260,240,44.794942,-71.146683,"BETALL_GR12_P1","BETALL"
2019,NA,NA,123,NA,NA,NA,NA,260,240,44.794942,-71.146683,"BETALL_GR12_P3","BETALL"
2019,107,NA,127,NA,NA,NA,NA,260,NA,44.794942,-71.146683,"BETALL_GR13_P1","BETALL"
2019,107,NA,119,NA,NA,NA,NA,249,232,44.794942,-71.146683,"BETALL_GR13_P15","BETALL"
2019,107,NA,123,NA,NA,NA,NA,260,240,44.794942,-71.146683,"BETALL_GR13_P2","BETALL"
2019,107,NA,119,NA,NA,NA,NA,249,232,44.794942,-71.146683,"BETALL_GR14_P15","BETALL"
2019,97,NA,119,NA,NA,NA,NA,249,232,44.794942,-71.146683,"BETALL_GR14_P16","BETALL"
2019,NA,NA,127,NA,NA,NA,NA,249,240,44.794942,-71.146683,"BETALL_GR9_P3","BETALL"
2019,100,NA,115,NA,NA,NA,NA,249,240,45.932675,-74.02507,"BETALL_SH2_P6","BETALL"
2019,107,NA,135,NA,NA,NA,NA,263,240,45.932675,-74.02507,"BETALL_SH4_P3","BETALL"
2019,107,NA,119,NA,NA,NA,NA,263,232,45.932675,-74.02507,"BETALL_SH4A_P9","BETALL"
