"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-11","4.6",,"0.0","0.0","-6.4","-3.8","-9.9","  320","  340","8.9","11.2",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-12","3.4",,"0.0","0.0","-8.6","-4.9","-13.2","  320","  320","9.8","12.5",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-13","8.9",,"34.3","81.0","-1.6","2.2","-6.0","   30","   20","17.4","21.9",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-14","8.2",,"7.9","3.0","1.1","2.8","-1.6","  270","  260","15.7","22.8",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-15","4.3",,"8.4","91.0","-0.1","1.7","-2.7","  330","  320","10.7","13.4",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-16","7.4",,"0.5","10.0","-1.9","0.6","-4.9","  320","  320","16.1","21.9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-17","6.6",,"0.0","0.0","-5.3","-1.6","-9.9","  320","  320","10.7","14.3",,,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-18","4.7",,"5.6","64.0","-4.7","1.7","-9.9","  120","  130","10.3","12.5",,,,,,"    1",,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-19","3.6",,"6.4","0.0","-1.7","2.2","-6.0","  270","  280","7.2","8.9","    1",,,,,,,
"USW00014739","BOSTON LOGAN INTERNATIONAL AIRPORT, MA US","42.36057","-71.00975","3.2","2014-02-20","4.2",,"2.0","0.0","3.7","8.9","0.6","  250","  190","7.6","10.3",,,,,,,,
